epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,122.331,0.81893,0.99716,1.26861,0.69168,0.65,0.76251,0.47229,1.6097,1.54533,1.38072,2.96935e-05,2.96935e-05,2.96935e-05
47,124.627,0.88526,1.46229,1.36125,0.73573,0.65,0.7323,0.43907,1.62212,1.60098,1.3867,2.98114e-05,2.98114e-05,2.98114e-05
48,126.945,0.78722,1.6334,1.17225,0.73573,0.65,0.7323,0.43907,1.62212,1.60098,1.3867,2.99058e-05,2.99058e-05,2.99058e-05
49,129.392,0.67283,0.72237,1.24558,0.6841,0.65,0.70533,0.41426,1.62324,1.62039,1.38763,2.99766e-05,2.99766e-05,2.99766e-05
50,133.041,0.80313,0.81088,1.29462,0.6841,0.65,0.70533,0.41426,1.62324,1.62039,1.38763,3.00238e-05,3.00238e-05,3.00238e-05
51,137.993,0.85785,0.83912,1.15555,0.65923,0.67497,0.69821,0.40628,1.5914,1.63197,1.38028,3.00475e-05,3.00475e-05,3.00475e-05
52,143.961,0.97472,0.96865,1.34817,0.65923,0.67497,0.69821,0.40628,1.5914,1.63197,1.38028,3.00476e-05,3.00476e-05,3.00476e-05
53,149.385,0.6463,0.69845,1.1783,0.65923,0.67497,0.69821,0.40628,1.5914,1.63197,1.38028,3.00242e-05,3.00242e-05,3.00242e-05
54,154.79,0.78824,0.91356,1.23436,0.69196,0.67154,0.69635,0.40819,1.57597,1.67561,1.38088,2.99772e-05,2.99772e-05,2.99772e-05
55,160.099,0.80047,0.9529,1.12112,0.69196,0.67154,0.69635,0.40819,1.57597,1.67561,1.38088,2.99066e-05,2.99066e-05,2.99066e-05
56,165.273,1.10242,1.44809,1.58947,0.69196,0.67154,0.69635,0.40819,1.57597,1.67561,1.38088,2.98125e-05,2.98125e-05,2.98125e-05
57,171.038,0.9447,1.50084,1.37506,0.72579,0.5,0.69158,0.40262,1.5827,1.70896,1.39104,2.96948e-05,2.96948e-05,2.96948e-05
58,176.444,0.86452,1.45263,1.26623,0.72579,0.5,0.69158,0.40262,1.5827,1.70896,1.39104,2.95535e-05,2.95535e-05,2.95535e-05
59,181.786,0.78205,0.82949,1.15403,0.72579,0.5,0.69158,0.40262,1.5827,1.70896,1.39104,2.93887e-05,2.93887e-05,2.93887e-05
60,187.21,0.9992,0.77617,1.54682,0.8555,0.4811,0.67794,0.39079,1.60852,1.77835,1.40876,2.92003e-05,2.92003e-05,2.92003e-05
61,190.308,0.63642,0.68049,1.06361,0.8555,0.4811,0.67794,0.39079,1.60852,1.77835,1.40876,2.89884e-05,2.89884e-05,2.89884e-05
62,192.783,0.70374,0.89655,1.04622,0.8555,0.4811,0.67794,0.39079,1.60852,1.77835,1.40876,2.87529e-05,2.87529e-05,2.87529e-05
63,195.337,0.77084,0.82392,1.15476,0.85507,0.47927,0.67728,0.3706,1.64649,1.85318,1.42749,2.84938e-05,2.84938e-05,2.84938e-05
64,198.013,0.62648,0.65333,1.06738,0.85507,0.47927,0.67728,0.3706,1.64649,1.85318,1.42749,2.82112e-05,2.82112e-05,2.82112e-05
65,200.33,0.66096,0.68305,1.21607,0.85507,0.47927,0.67728,0.3706,1.64649,1.85318,1.42749,2.7905e-05,2.7905e-05,2.7905e-05
66,202.696,0.68533,0.91213,1.08123,0.85297,0.47726,0.67715,0.39248,1.72126,1.91876,1.45357,2.75753e-05,2.75753e-05,2.75753e-05
67,204.965,0.73681,1.10934,1.10169,0.85297,0.47726,0.67715,0.39248,1.72126,1.91876,1.45357,2.7222e-05,2.7222e-05,2.7222e-05
68,207.233,1.04499,1.76964,1.40746,0.85297,0.47726,0.67715,0.39248,1.72126,1.91876,1.45357,2.68451e-05,2.68451e-05,2.68451e-05
69,209.56,0.63848,1.09724,1.12349,0.84272,0.48534,0.55417,0.273,1.67089,1.96109,1.42363,2.64447e-05,2.64447e-05,2.64447e-05
70,211.815,0.98209,0.86719,1.43085,0.84272,0.48534,0.55417,0.273,1.67089,1.96109,1.42363,2.60207e-05,2.60207e-05,2.60207e-05
71,214.263,0.9443,1.27792,1.31373,0.84272,0.48534,0.55417,0.273,1.67089,1.96109,1.42363,2.55731e-05,2.55731e-05,2.55731e-05
72,216.821,0.595,0.63768,1.07473,0.84106,0.48483,0.54199,0.2709,1.74332,2.00864,1.45349,2.5102e-05,2.5102e-05,2.5102e-05
73,219.449,0.68437,0.90455,1.04356,0.84106,0.48483,0.54199,0.2709,1.74332,2.00864,1.45349,2.46073e-05,2.46073e-05,2.46073e-05
74,221.762,0.73002,0.60004,1.2197,0.84106,0.48483,0.54199,0.2709,1.74332,2.00864,1.45349,2.40891e-05,2.40891e-05,2.40891e-05
75,224.163,0.72962,0.55234,1.14052,0.83555,0.48936,0.54999,0.27036,1.80329,2.00842,1.47737,2.35472e-05,2.35472e-05,2.35472e-05
76,226.733,0.63486,0.73254,1.12866,0.83555,0.48936,0.54999,0.27036,1.80329,2.00842,1.47737,2.29819e-05,2.29819e-05,2.29819e-05
77,229.114,0.68178,0.65781,1.11207,0.83555,0.48936,0.54999,0.27036,1.80329,2.00842,1.47737,2.23929e-05,2.23929e-05,2.23929e-05
78,231.386,0.87908,1.01245,1.18701,0.83416,0.48746,0.54433,0.26761,1.76238,2.03369,1.45803,2.17805e-05,2.17805e-05,2.17805e-05
79,234.082,0.6005,0.78249,1.09855,0.83416,0.48746,0.54433,0.26761,1.76238,2.03369,1.45803,2.11444e-05,2.11444e-05,2.11444e-05
80,236.527,0.70241,0.7323,1.16218,0.83416,0.48746,0.54433,0.26761,1.76238,2.03369,1.45803,2.04848e-05,2.04848e-05,2.04848e-05
81,238.936,0.51496,0.50415,0.97507,0.8379,0.48686,0.53446,0.25852,1.8018,2.07421,1.48704,1.98016e-05,1.98016e-05,1.98016e-05
82,241.274,0.80863,0.67288,1.14335,0.8379,0.48686,0.53446,0.25852,1.8018,2.07421,1.48704,1.90949e-05,1.90949e-05,1.90949e-05
83,243.491,0.75178,0.81727,1.17889,0.8379,0.48686,0.53446,0.25852,1.8018,2.07421,1.48704,1.83646e-05,1.83646e-05,1.83646e-05
84,245.739,0.78323,0.56639,1.20408,0.84187,0.48292,0.53685,0.26512,1.84191,2.10084,1.51176,1.76107e-05,1.76107e-05,1.76107e-05
85,247.942,0.5722,0.74694,1.11291,0.84187,0.48292,0.53685,0.26512,1.84191,2.10084,1.51176,1.68333e-05,1.68333e-05,1.68333e-05
86,250.274,0.73876,0.67338,1.10115,0.84187,0.48292,0.53685,0.26512,1.84191,2.10084,1.51176,1.60323e-05,1.60323e-05,1.60323e-05
